repo_name,pass_rate,og_LOC,up_LOC,og_comment,up_comment,og_cyclomatic_complexity,up_cyclomatic_complexity,num_elements
Celeste64,0.9,73.7,64.9,12.9,6.2,19.1,14.6,69
citra,0.8,41.7,37.9,9.0,5.2,8.0,6.6,63
distributed-llama,0.9,33.6,30.9,10.1,3.2,7.8,5.5,70
garnet,0.7,83.1,76.6,11.2,5.2,21.4,17.1,57
qsyn,0.8,52.6,58.1,9.0,4.8,12.3,11.1,62
velopack,0.8,52.4,55.3,12.5,3.8,12.9,10.2,60
